Chain_Name,Category,Location,Parent_Company,Target_Segment,Price_Range,Store_Size,Services_Offered,Store_Count_National,Founded_Year
Pantaloons,Fashion Chain,Mall of Dehradun Rajpur Road,Aditya Birla Group,Mass Market,Budget to Mid,Large Format,Family Fashion,344,1997
Lifestyle,Fashion Chain,Pacific Mall,Landmark Group,Mid-Premium,Mid to Premium,Large Format,Multi-brand Fashion,85,1999
Westside,Fashion Chain,Centrio Mall,Tata Group,Mid-Premium,Mid to Premium,Large Format,Fashion & Home,200+,1998
Max Fashion,Fashion Chain,Pacific Mall,Landmark Group,Budget,Budget,Large Format,Fast Fashion,500+,2006
V-Mart,Fashion Chain,Dehradun,V-Mart Retail,Budget,Budget,Large Format,Value Fashion,350+,2002
Manyavar & Mohey,Fashion Chain,Pacific Mall Mission Chowk,Vedant Fashions,Premium Ethnic,Premium,Large Format,Ethnic Wear,450+,1999
Fabindia,Fashion Chain,Rajpur Road,Fabindia,Premium Ethnic,Premium,Large Format,Handloom & Ethnic,320+,1960
AND Store,Fashion Chain,Rajpur Road,,Premium Women's,Premium,Large Format,Designer Women's Wear,100+,2015
Louis Philippe,Fashion Chain,Dehradun,Aditya Birla Group,Premium Men's,Premium,Large Format,Formal Menswear,400+,1989
The Raymond Shop,Fashion Chain,Dehradun,Raymond Group,Premium Men's,Premium,Large Format,Men's Lifestyle,1500+,1925
