Business_Name,Category,Location,Services_Offered,Price_Range,Customer_Rating,Specialization,Staff_Count,Home_Service,Brands_Used
Lakme Salon,Chain Salon,MJ Tower Rajpur Road,Complete beauty services,Premium,4.5+,Professional Beauty,10+,Yes,Lakme
Antheia Enhance,Beauty Salon,Dehradun,Diverse beauty services,Mid-Premium,High,Customer satisfaction,8+,Yes,Multiple brands
P7 Star Smart Unisex Salon,Unisex Salon,Dehradun,Wide range services,Mid-range,High,Unisex Services,6+,No,Standard brands
VLCC,Beauty Chain,International Trade Center Rajpur Road,Slimming Beauty Fitness,Premium,4.0+,Weight Loss & Beauty,15+,Yes,VLCC products
Matrix Salon,Local Salon,Near Heritage School New Road,Hair & Beauty,Mid-range,Good,Hair Specialist,5+,No,Matrix products
Royal Men Salon,Men's Salon,Chkkuwala,Men's grooming,Budget-Mid,Good,Men's Specialist,4+,No,Basic brands
Luxuria Hair & Beauty Salon,Beauty Salon,Guru Kirpa Complex New Road,Hair & Beauty,Mid-range,Good,Hair & Beauty,6+,No,Multiple brands
Ennbee by Nikita,Bridal Makeup,Dehradun,Bridal makeup specialist,Premium,Excellent,Bridal Specialist,3+,Yes,Premium brands
Ebony & Jade Salon,Luxury Salon,Dehradun,Luxury beauty services,Premium,High,Luxury Experience,10+,Yes,Luxury brands
Ashruti Giri Makeovers,Makeup Studio,GMS Road,Professional makeup,Mid-Premium,Good,Makeup Specialist,4+,Yes,Professional brands
